parameters,parameters_reduction,validation_loss,validation_acc,accuracy_drop,baseline_time_ms,compressed_time_ms,benchmark_batch_size,benchmark_input_shape,benchmark_warmup,benchmark_repeats,agreement,logits_rmse,baseline_macs,compressed_macs,compute_reduction,conv1_rank,conv1_role,retained_energy_conv1,conv2_rank,conv2_role,retained_energy_conv2,conv3_rank,conv3_role,retained_energy_conv3,is_all_knee
75773,0.4118920848791543,2.102407054710388,0.3602,0.37420000000000003,0.5655052000001888,0.5288580500018725,256,"(256, 3, 32, 32)",20,2000,0.4064,2.986025440227779,10357248,4183552,0.5960749419150724,9,conservative,0.7662929892539978,16,aggressive,0.6923009753227234,48,knee,0.8807648420333862,False
86860,0.32584095248443834,2.143372374153137,0.3508,0.38360000000000005,0.5655052000001888,0.5497335000000021,256,"(256, 3, 32, 32)",20,2000,0.394,3.1774053450201314,10357248,4723200,0.543971526026991,6,knee,0.6009767651557922,16,aggressive,0.6923009753227234,64,conservative,0.9322720170021057,False
64509,0.4993169929060399,2.174534973526001,0.3422,0.39220000000000005,0.5655052000001888,0.5229193500017573,256,"(256, 3, 32, 32)",20,2000,0.3822,3.0301115839086687,10357248,3462656,0.665677987048297,9,conservative,0.7662929892539978,16,aggressive,0.6923009753227234,32,aggressive,0.7885524034500122,False
78412,0.39140963350460256,2.1823383125305176,0.3646,0.3698000000000001,0.5655052000001888,0.5492374500026926,256,"(256, 3, 32, 32)",20,2000,0.4088,2.994890965382755,10357248,4723200,0.543971526026991,6,knee,0.6009767651557922,24,knee,0.808947741985321,48,knee,0.8807648420333862,True
75596,0.41326586051132397,2.2535964706420897,0.317,0.41740000000000005,0.5655052000001888,0.5472086000008858,256,"(256, 3, 32, 32)",20,2000,0.3568,3.2618611443468892,10357248,4002304,0.6135745711602155,6,knee,0.6009767651557922,16,aggressive,0.6923009753227234,48,knee,0.8807648420333862,False
67148,0.4788345415314882,2.278316541671753,0.3428,0.39160000000000006,0.5655052000001888,0.5285196500008169,256,"(256, 3, 32, 32)",20,2000,0.3838,3.0411995859980974,10357248,4002304,0.6135745711602155,6,knee,0.6009767651557922,24,knee,0.808947741985321,32,aggressive,0.7885524034500122,False
64332,0.5006907685382096,2.3158108848571777,0.3042,0.4302,0.5655052000001888,0.5163834999984829,256,"(256, 3, 32, 32)",20,2000,0.3372,3.270577064668787,10357248,3281408,0.6831776162934401,6,knee,0.6009767651557922,16,aggressive,0.6923009753227234,32,aggressive,0.7885524034500122,False
81051,0.3709271821300507,2.3926432525634764,0.2708,0.46360000000000007,0.5655052000001888,0.5251094999985071,256,"(256, 3, 32, 32)",20,2000,0.3004,3.379857135710399,10357248,5262848,0.4918681101389095,3,aggressive,0.36505842208862305,32,conservative,0.8810855746269226,48,knee,0.8807648420333862,False
69787,0.45835209015693645,2.4218558853149412,0.2558,0.4786,0.5655052000001888,0.5135364499983552,256,"(256, 3, 32, 32)",20,2000,0.2812,3.468596682985606,10357248,4541952,0.5614711552721341,3,aggressive,0.36505842208862305,32,conservative,0.8810855746269226,32,aggressive,0.7885524034500122,False
92315,0.2835022741031651,2.4605949634552,0.2576,0.47680000000000006,0.5655052000001888,0.5564511000011407,256,"(256, 3, 32, 32)",20,2000,0.2798,3.3662994478590655,10357248,5983744,0.42226506500568495,3,aggressive,0.36505842208862305,32,conservative,0.8810855746269226,64,conservative,0.9322720170021057,False
78235,0.3927834091367721,2.6437930904388427,0.244,0.49040000000000006,0.5655052000001888,0.5328314999969734,256,"(256, 3, 32, 32)",20,2000,0.2628,3.5370773985647386,10357248,4541952,0.5614711552721341,3,aggressive,0.36505842208862305,24,knee,0.808947741985321,48,knee,0.8807648420333862,False
89499,0.3053585011098865,2.6478132091522215,0.2414,0.49300000000000005,0.5655052000001888,0.527335700000549,256,"(256, 3, 32, 32)",20,2000,0.259,3.5120951779617964,10357248,5262848,0.4918681101389095,3,aggressive,0.36505842208862305,24,knee,0.808947741985321,64,conservative,0.9322720170021057,False
75419,0.41463963614349353,2.6578340534210203,0.2046,0.5298,0.5655052000001888,0.5341519499997958,256,"(256, 3, 32, 32)",20,2000,0.2168,3.683684662849482,10357248,3821056,0.6310742004053587,3,aggressive,0.36505842208862305,16,aggressive,0.6923009753227234,48,knee,0.8807648420333862,False
86683,0.3272147281166079,2.675335083389282,0.2052,0.5292000000000001,0.5655052000001888,0.5399474999976519,256,"(256, 3, 32, 32)",20,2000,0.2156,3.671232842784219,10357248,4541952,0.5614711552721341,3,aggressive,0.36505842208862305,16,aggressive,0.6923009753227234,64,conservative,0.9322720170021057,False
66971,0.48020831716365786,2.6948541847229004,0.2288,0.5056,0.5655052000001888,0.5363139500004763,256,"(256, 3, 32, 32)",20,2000,0.2482,3.6142228050266905,10357248,3821056,0.6310742004053587,3,aggressive,0.36505842208862305,24,knee,0.808947741985321,32,aggressive,0.7885524034500122,False
64155,0.5020645441703793,2.7014945320129393,0.2072,0.5272000000000001,0.5655052000001888,0.5285312499981956,256,"(256, 3, 32, 32)",20,2000,0.2214,3.717229069229525,10357248,3100160,0.7006772455385832,3,aggressive,0.36505842208862305,16,aggressive,0.6923009753227234,32,aggressive,0.7885524034500122,False
