conv1_rank,conv2_rank,conv3_rank,conv1_role,conv2_role,conv3_role,is_all_knee,parameters,parameters_reduction,baseline_macs,compressed_macs,compute_reduction,validation_loss,validation_acc,accuracy_drop,baseline_time_ms,compressed_time_ms,agreement,logits_rmse,retained_energy_conv1,retained_energy_conv2,retained_energy_conv3
9,16,48,conservative,aggressive,knee,False,75773,0.4118920848791543,10357248,4183552,0.5960749419150724,2.102407054710388,0.3602,0.37420000000000003,0.5551737000005232,0.5170214999998279,0.4064,2.986025440227779,0.7662929892539978,0.6923009753227234,0.8807648420333862
6,16,64,knee,aggressive,conservative,False,86860,0.32584095248443834,10357248,4723200,0.543971526026991,2.143372374153137,0.3508,0.38360000000000005,0.5551737000005232,0.523657000003368,0.394,3.1774053450201314,0.6009767651557922,0.6923009753227234,0.9322720170021057
9,16,32,conservative,aggressive,aggressive,False,64509,0.4993169929060399,10357248,3462656,0.665677987048297,2.174534973526001,0.3422,0.39220000000000005,0.5551737000005232,0.5041425000035815,0.3822,3.0301115839086687,0.7662929892539978,0.6923009753227234,0.7885524034500122
6,24,48,knee,knee,knee,True,78412,0.39140963350460256,10357248,4723200,0.543971526026991,2.1823383125305176,0.3646,0.3698000000000001,0.5551737000005232,0.5262845000015659,0.4088,2.994890965382755,0.6009767651557922,0.808947741985321,0.8807648420333862
6,16,48,knee,aggressive,knee,False,75596,0.41326586051132397,10357248,4002304,0.6135745711602155,2.2535964706420897,0.317,0.41740000000000005,0.5551737000005232,0.5124404999969556,0.3568,3.2618611443468892,0.6009767651557922,0.6923009753227234,0.8807648420333862
6,24,32,knee,knee,aggressive,False,67148,0.4788345415314882,10357248,4002304,0.6135745711602155,2.278316541671753,0.3428,0.39160000000000006,0.5551737000005232,0.5167995000010706,0.3838,3.0411995859980974,0.6009767651557922,0.808947741985321,0.7885524034500122
6,16,32,knee,aggressive,aggressive,False,64332,0.5006907685382096,10357248,3281408,0.6831776162934401,2.3158108848571777,0.3042,0.4302,0.5551737000005232,0.5028205000053276,0.3372,3.270577064668787,0.6009767651557922,0.6923009753227234,0.7885524034500122
3,32,48,aggressive,conservative,knee,False,81051,0.3709271821300507,10357248,5262848,0.4918681101389095,2.3926432525634764,0.2708,0.46360000000000007,0.5551737000005232,0.5197940000016388,0.3004,3.379857135710399,0.36505842208862305,0.8810855746269226,0.8807648420333862
3,32,32,aggressive,conservative,aggressive,False,69787,0.45835209015693645,10357248,4541952,0.5614711552721341,2.4218558853149412,0.2558,0.4786,0.5551737000005232,0.5118855000000622,0.2812,3.468596682985606,0.36505842208862305,0.8810855746269226,0.7885524034500122
3,32,64,aggressive,conservative,conservative,False,92315,0.2835022741031651,10357248,5983744,0.42226506500568495,2.4605949634552,0.2576,0.47680000000000006,0.5551737000005232,0.5329774999972869,0.2798,3.3662994478590655,0.36505842208862305,0.8810855746269226,0.9322720170021057
3,24,48,aggressive,knee,knee,False,78235,0.3927834091367721,10357248,4541952,0.5614711552721341,2.6437930904388427,0.244,0.49040000000000006,0.5551737000005232,0.5231470000035188,0.2628,3.5370773985647386,0.36505842208862305,0.808947741985321,0.8807648420333862
3,24,64,aggressive,knee,conservative,False,89499,0.3053585011098865,10357248,5262848,0.4918681101389095,2.6478132091522215,0.2414,0.49300000000000005,0.5551737000005232,0.5260400000042864,0.259,3.5120951779617964,0.36505842208862305,0.808947741985321,0.9322720170021057
3,16,48,aggressive,aggressive,knee,False,75419,0.41463963614349353,10357248,3821056,0.6310742004053587,2.6578340534210203,0.2046,0.5298,0.5551737000005232,0.5137254999954166,0.2168,3.683684662849482,0.36505842208862305,0.6923009753227234,0.8807648420333862
3,16,64,aggressive,aggressive,conservative,False,86683,0.3272147281166079,10357248,4541952,0.5614711552721341,2.675335083389282,0.2052,0.5292000000000001,0.5551737000005232,0.51610299999993,0.2156,3.671232842784219,0.36505842208862305,0.6923009753227234,0.9322720170021057
3,24,32,aggressive,knee,aggressive,False,66971,0.48020831716365786,10357248,3821056,0.6310742004053587,2.6948541847229004,0.2288,0.5056,0.5551737000005232,0.5093209999995452,0.2482,3.6142228050266905,0.36505842208862305,0.808947741985321,0.7885524034500122
3,16,32,aggressive,aggressive,aggressive,False,64155,0.5020645441703793,10357248,3100160,0.7006772455385832,2.7014945320129393,0.2072,0.5272000000000001,0.5551737000005232,0.5209234999983892,0.2214,3.717229069229525,0.36505842208862305,0.6923009753227234,0.7885524034500122
